text,actual,predicted,confidence
"""@SouthwestAir oh",neutral,negative,0.8562926054000854
@USAirways I found a flight I want on @CheapOair. Is my @AmericanAir AA Advantage # applicable to earn miles on it since you're merging?,neutral,negative,0.9907597303390503
@SouthwestAir planning a family trip to Orlando in May and trying to figure out when to book to get the best rate. Any Suggestions?,neutral,negative,0.9960324168205261
"""@united I need the phone number to baggage claim in LAX",neutral,negative,0.9991439580917358
@JetBlue's CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/IMVMpnQXAI,neutral,negative,0.9840723872184753
@VirginAmerica does Virgin America fly direct from Seattle to NYC or Boston?,neutral,negative,0.9934006929397583
"""@united funny",negative,positive,0.97563236951828
@AmericanAir flights out of Dallas on Tuesday are not going to be Cancelled Flightled correct?,neutral,positive,0.9100135564804077
@JetBlue A month ago I had a flight booked but then had to Cancelled Flight it... I'm now Flight Booking Problems a separate flight for a different occasion.,neutral,negative,0.9993274211883545
@united now there is no one to operate the ramp to let us out of the plane in IAH...wow..just wow,negative,positive,0.9883699417114258
@AmericanAir @USAirways She's on Manch to Charlotte Fl 4628 Told her she could get on a 4pm flight to West Palm Beach. Nothing earlier?,neutral,negative,0.8995835781097412
@JetBlue Phew!! Did it!! (Pant. Wheeze) http://t.co/ZPZ78POeON,neutral,negative,0.9876250624656677
@VirginAmerica I miss the #nerdbird in San Jose,neutral,negative,0.998331606388092
@united have all 747-400s been updated with power outlets and seat-back TVs yet? Flying ORD to Tokyo-Narita on the 28th,neutral,negative,0.9784350395202637
@SouthwestAir The Opal Dragon book The Dragon (ALI) has woven his murdering ways from the Philippines to Australia http://t.co/c9p2ioSphM,neutral,negative,0.8478410243988037
STAHHPPP!!! RT @JetBlue: Our fleet's on fleek. http://t.co/VHFJGneOZO,neutral,negative,0.997495174407959
@SouthwestAir tweet just popped up on my phone with @amin_aur follows. Missing my favorite Southwest pilot and brother.,neutral,negative,0.9996315240859985
"""@united It's an incredibly easy fix",negative,positive,0.9935543537139893
@united Are the current on board food menus available anywhere online?,neutral,negative,0.9688557386398315
@SouthwestAir I left something on a plane landing at Midway last night because I am a responsible adult -- got a number for me to call? TY!,neutral,negative,0.9979526996612549
@JetBlue @zakkohane pretty sure he's saying Ricoh had great service down at BOS ;) #happytohelp,neutral,positive,0.9981374740600586
@SouthwestAir I dunno my travel information.. like what?,neutral,negative,0.9982421398162842
@SouthwestAir Can you help me out with tickets to the Vegas event? I would be so stoked!,neutral,positive,0.9983229041099548
"""@AmericanAir Do you happen to know if that plane will be repainted",neutral,negative,0.9945240020751953
@JetBlue Just left #LaGuardia now...#Sunshine in a little over 2 hours,neutral,positive,0.8896455764770508
"""@SouthwestAir Katie",positive,negative,0.7842113971710205
@VirginAmerica What @dhepburn said.,neutral,positive,0.8633642792701721
@SouthwestAir when will you have flights for October 2015 available?,neutral,negative,0.9959543943405151
"""@united Hi again",neutral,positive,0.9598785638809204
"""@USAirways Hi",neutral,negative,0.9297954440116882
@JetBlue heading to Buffalo... trading the cold in Boston for colder in Buffalo... Maybe the Caribbean next time?,positive,negative,0.9854444861412048
@SouthwestAir shhhh i don't want something else to steal our deal😉,positive,negative,0.9908775687217712
"""@USAirways just heard #Monterey airport was closed due to thick fog",neutral,negative,0.9946684241294861
@United an idea: monitor mileage members travel patterns enough to know when they change jobs/lose status...and make the transition easier.,neutral,positive,0.8148437738418579
@USAirways can you add my KTN to an existing reservation?,neutral,negative,0.9964051246643066
@JetBlue what's good with a Miami terminal?,neutral,positive,0.9982768297195435
"""@united - well",negative,neutral,0.5516722202301025
@united The pilot of UA475 just landed this plane like he was gently placing us into a pile of whipped cream. Smoothest landing ever.,positive,negative,0.975307285785675
@united flying gla-mco in a few weeks. How long do we have to be at airport for before departure for both international and domestic? Ta,neutral,negative,0.9946324825286865
@SouthwestAir Can someone rebook me? Please direct message me.,neutral,negative,0.9938645958900452
"""@united I would understand if weather was the issue",negative,positive,0.9362249374389648
"""@JetBlue I can't say what airline I am on right now",positive,negative,0.9856482744216919
@united I have.,neutral,positive,0.8810721039772034
@SouthwestAir Do you anticipate any Cancelled Flightlations for flights out of Nashville tomorrow? Thank you!,neutral,positive,0.9988021850585938
@SouthwestAir Do you still offer discounts on seats for children under 2? We would rather put him in a seat than in a lap!,neutral,negative,0.9942400455474854
@JetBlue's new CEO seeks the right balance to please passengers and Wall ... - Greenfield Daily Reporter http://t.co/LM3opxkxch,neutral,negative,0.9814223051071167
No they didn't -.- “@JetBlue: Our fleet's on fleek. http://t.co/58B7swRpmq”,neutral,negative,0.9923721551895142
@JetBlue Using JetBlue miles?,neutral,negative,0.9819248914718628
@AmericanAir Do we get a class discount on your wifi? I will be flying your airlines at approx. 4 Am?,neutral,negative,0.9892701506614685
@united wont transfer flight ticket to accompany an 11 yr old who's active military mom had to have emergency brain surgery? WOW!!,negative,positive,0.9598744511604309
@USAirways can you help chairman? I am on flight 686 PHX connect 599 SJC will miss connection can you reroute please.,neutral,negative,0.9994609951972961
@SouthwestAir  how do you get one?,neutral,negative,0.9963326454162598
"""@united line is just getting longer and moving slower. Lady working the counter is doing great",negative,positive,0.9928077459335327
@USAirways 1826 trying to make a connection to Punta Cana leave PHL at 9:50,neutral,negative,0.9983502626419067
@SouthwestAir following!! My bad.,neutral,negative,0.9993910789489746
@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,neutral,positive,0.9958736300468445
"""@united not tonight",negative,positive,0.8871673345565796
@VirginAmerica posts second consecutive full-year net profit - @ATWOnline http://t.co/tvB5zbzVhg,neutral,negative,0.9911518692970276
@united what would it cost,neutral,negative,0.9950045943260193
@SouthwestAir I'm 30 mins out WAIT FOR ME😭😭😭,neutral,negative,0.9912569522857666
@USAirways @AmericanAir I need to move a reservation due to weather in the middle part of the U.S.  I would like to change departing airport,neutral,negative,0.9958613514900208
@AmericanAir are flights from Columbus Ohio to Dallas Texas Cancelled Flighted?,neutral,negative,0.9981616139411926
@SouthwestAir need to Cancelled Flight a few more can you please check DM,neutral,negative,0.9882164597511292
@USAirways will my known traveler no. transfer over from @AmericanAir ? when I check in at t-24 as an AA elite I can get choice seats?,neutral,negative,0.9854177236557007
@united as a million mile flier I'm embarrassed to ask how long ago his launched?,neutral,negative,0.9989683628082275
"""@united They let us know in advance of the reboot",positive,negative,0.7144110798835754
@united DM the conf # to you - did you receive it?,neutral,negative,0.8384914994239807
"""@united boarded 6373 on time",negative,neutral,0.5488326549530029
"""@United - In case you're reading this",negative,positive,0.9162627458572388
@United You were doing so well until the PHL-SFO flight yesterday. Major miss. Unfriendly Premier cabin crew. Baggage cluster at SFO.,negative,neutral,0.5417640209197998
@united am I allowed to bring a duffle bag and back pack as my carry on and personal item? Flying out of NY,neutral,negative,0.9861783981323242
@VirginAmerica On all your flights?,neutral,negative,0.9698621034622192
"""@SouthwestAir That was Chantilly",neutral,negative,0.8793003559112549
X__x RT @JetBlue: Our fleet's on fleek. http://t.co/xxppZo88j1,neutral,negative,0.9965158700942993
@united Everyone around us is sitting with their friends and family members. They booked their tickets in October and December. We bought,negative,positive,0.9989012479782104
"""@USAirways if I qualify for free 1st checked bag",neutral,negative,0.9779492616653442
"""@SouthwestAir Have a cup coffee and relax while you check out the New Deals and Promotions at Avon",neutral,positive,0.9980108141899109
@VirginAmerica Need to start flying to @KCIAirport .  😊😀😃😄,neutral,negative,0.9891559481620789
@SouthwestAir are there any flights from MSP to HRL in March? I'm looking at 3/19-3/23,neutral,negative,0.9984055161476135
"""@USAirways on the DL",positive,negative,0.8894557356834412
