text,sentiment
pls stop sending texts every 15mins saying my flight is delayed another 15mins-It's been 3hrs. I usually defend u but this is lame..,airlinetweets/negative
stuck in YYZ because staff took a break? Not happy 1K....,airlinetweets/negative
Delayed 7 hrs flight 5721 PIT/IAD,airlinetweets/negative
I paid the premium to fly you across the country,airlinetweets/negative
is an airline where you pay extra to get a better seat but by the time you board your overbooked flight,airlinetweets/negative
- In case you're reading this,airlinetweets/negative
I believe. It was Cancelled Flighted yesterday I guess. Goes back to no notification from United about Cancelled Flightlation,airlinetweets/negative
flying to las vegas out of Chicago flight is Late Flight and no announcement has been made,airlinetweets/negative
- 3 of 6 First seats open on UA5097. No upgrades processed. Gate agents said their too busy. Not cool http://t.co/6KpyhckA9l,airlinetweets/negative
I would take the $500 voucher you offered for MISCOUNTING THE # OF SEATS ON YOUR PLANE but that means I would have to fly you again,airlinetweets/negative
so unhelpful... http://t.co/vBfIeo2qJC,airlinetweets/negative
on line baggage system complete rubbish. bag missing 2 days. No meaningful information.,airlinetweets/negative
,airlinetweets/negative
--excited to barrel through the sky at 600mph on a 75 ton piece of metal operated by a company that can't get their tiny TVs to work!,airlinetweets/negative
and I was denied an upgrade because of catering issues??? #poorservice,airlinetweets/negative
"flight delayed...again...every time. """"Maintenance issues",airlinetweets/negative
is the stingiest airline. Nobody should model after them. #PTFO #cheap #bastards #stingy,airlinetweets/negative
if I miss the #Oscars I'll never fly united again,airlinetweets/negative
I have to go back home! I have to use what the company has available. But it's unfair to stay more than 24 h traveling,airlinetweets/negative
is synonymous to with #rude. And #cheap. You really don't know how to value the customer,airlinetweets/negative
ouch not fair,airlinetweets/negative
I have proof that my situation now is due to company mistake,airlinetweets/negative
Lied to my face at the gate about upgrades. Thanks. #badservice #unitedsucks,airlinetweets/negative
the costumer services here at Denver Intl Airport is ridiculous bad!,airlinetweets/negative
,airlinetweets/negative
seriously? UA 806. Delayed because of the copilot isn't here? For 1.5 hours and he is only flying from Raleigh? Disappointing,airlinetweets/negative
stay more than 24h traveling ans sleeping on the airports floor,airlinetweets/negative
why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,airlinetweets/negative
ridiculous! I have to be refunded whenever I get at my final destination or not!,airlinetweets/negative
the bag is in a state that I didn't travel to and the airports don't fly to each other. Looks like it'll never show,airlinetweets/negative
i will just send my confirmation number when I get home safe and sound. This is why i pay so expensive services to you!,airlinetweets/negative
lost my bags and there was a flight from Chi to Eri that landed over 1.5 hrs ago...yet still have zero updates?? #UnitedAirlinesSux,airlinetweets/negative
I hope you lose the next govt contract,airlinetweets/negative
thanks for causing us to miss our connection and now a 6hour delay #flydeltanexttime,airlinetweets/negative
... I want my bag off flight 1142,airlinetweets/negative
is by far THE WORST airline I've ever had the misfortune of flying with in all the 44 countries I've flown to!!! It's outrageous!,airlinetweets/negative
4994 out of Jackson,airlinetweets/negative
The first time I flew United was horrible thought I would give you a second chance. There will NOT be a third! #disgruntled,airlinetweets/negative
you could give me free flights for life,airlinetweets/negative
my flight was supposed to depart to Boston at 4:36 and now it's departing at 6:30 due to issues with finding a pilot. Thanks a lot!!,airlinetweets/negative
I'd rather spend two days in the back seat of a Volkswagen than two hours on your plane! #disgruntled #whatacluster,airlinetweets/negative
"the most frustrating flying experience. One continuous """"I dunno what time you will leave today. """". Dunno?! That's code for ...?",airlinetweets/negative
still sucks. I don't understand why you have two cust service agents for a long line at Houston international b gate #unitedsucks,airlinetweets/negative
"my flight was already Cancelled Flightled this morning because of a """"snow storm in Denver"""". And now I'm in DC waiting for a pilot to get on+",airlinetweets/negative
your b737-800w literally the smallest seats I have ever have,airlinetweets/negative
I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,airlinetweets/negative
have you read your own same day travel change policy?,airlinetweets/negative
worst flying experience ever and they tried to blame it on ATC?! I watched them load bags for 30min after boarding 45min Late Flight,airlinetweets/negative
- Plane came in with broken seat. Rather than fix it they put a broken sign on it and separated me from my kids.,airlinetweets/negative
why are your agents working so slowly to rebook people who are on #UA1481. We have all wasted an entire day at STT.,airlinetweets/negative
you guys are complete ass,airlinetweets/negative
Another delayed flight? #likingyoulessandless,airlinetweets/negative
pushing five hours and my time is worth nothing to you. reFlight Booking Problems not an option unfortunately.,airlinetweets/negative
of course. But interesting how United doesn't seem to have a good sense on what's happening with flight,airlinetweets/negative
yes I have &amp; they're unsure when it would come.This has never happened on any airline and my first time with #disappointed,airlinetweets/negative
We waited 40 min for our bags after a 45 min flight #nomorecheckedbags,airlinetweets/negative
your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline Shame on you!,airlinetweets/negative
8 hours Late Flightr and I'm siting on another plane waiting to leave. I think a credit is in order for this terrible service!,airlinetweets/negative
us too! Terrible airline! Just gave us a hotel hotline number and said sorry,airlinetweets/negative
so the last seg of my flight from Denver (DEN) to hayden/steamboat (HDN) for 8am got Cancelled Flightled and I need help finding my luggage,airlinetweets/negative
every time I search a flight your site logs me out and gives error message. About to book on a different airline and Cancelled Flight my card.,airlinetweets/negative
no,airlinetweets/negative
Poor cabin luggage service on UA1266 to BOS,airlinetweets/negative
your gate attendant had some snobby remarks,airlinetweets/negative
. 5 hours,airlinetweets/negative
seriously what's with the slow #wifi on this flight! If the speed was going to change for the worse then the price shouldn't go up!,airlinetweets/negative
now maintenance issues with flight 5639 and more issues with passengers that will miss connections needing to get off,airlinetweets/negative
Would be nice if partner tickets that don't provide full PQM credit are more obvious before purchase. Lost 1,airlinetweets/negative
. Once again your lack of customer centricity us astounding,airlinetweets/negative
that's what you have said for years,airlinetweets/negative
Pay for a cab back to the airport to show baggage dept. my wet shirts and suit is not a viable option. 2nd time this has happened!!,airlinetweets/negative
-- overFlight Booking Problems planes,airlinetweets/negative
customer service what's That???,airlinetweets/negative
that I would get on early enough to not have to green tag. but no go. if not for Otis I would be still sitting at ORD,airlinetweets/negative
you always surprise me with the awfulness of your airline. You guys suck. #worst,airlinetweets/negative
. Really? Was bumped down from Gold status,airlinetweets/negative
EVERYTIME I fly UR airline I hate you even more ! Thanks for the terrible service on flight 1071,airlinetweets/negative
always a fucken nightmare with your airline. #fail #lazy #alwaysLate Flight #worstairlineever,airlinetweets/negative
. I think not. I'm not flying you again,airlinetweets/negative
“: What made you come to this? Can we help you with anything? ^JP” the service just hasn't been great.,airlinetweets/negative
"been good 15yr """"friendly skies"""" relationship. 2day agent told me I'm """"only Canadian"""" and thus not good enough for military preboard",airlinetweets/negative
you are failing your customers because your check in process does not link to TSA pre-check.,airlinetweets/negative
seriously? 45 min on the plane at bhm and now 30 min in baggage and still no bags? #worstairlineever,airlinetweets/negative
Unfortunately had a bad experience flying with you on Saturday. Inpolite crew,airlinetweets/negative
you guys suck,airlinetweets/negative
100. % failure in 2015 #UnitedAirlines,airlinetweets/negative
Never had a flight delayed an hour due to an unbalanced load. And more delays at . Great job idiots.,airlinetweets/negative
. all other ANA ticket holders get to use the lounge,airlinetweets/negative
sitting on the runway in Newark,airlinetweets/negative
false.,airlinetweets/negative
flight 3870 to Newark,airlinetweets/negative
Late Flight 2014 and 2015 are huge step towards decline in service,airlinetweets/negative
,airlinetweets/negative
they had record of it being at Denver on the concourse prior to me gettin on the shuttle. I just want to confirm its location,airlinetweets/negative
-How is it that all my flight times were changed without any official notification? Almost missed my flight this morning. Not cool!,airlinetweets/negative
what a long day of delays. Please get us to Dallas tonight!!!! Fingers crossed!!! #winterstorm2015 #whichisworsedenordfw.,airlinetweets/negative
is my flight delayed? It keeps changing between delayed and not??? If delayed is checkin time Late Flightr??? http://t.co/NTUIx5dbYR,airlinetweets/negative
. in the future when delay causes 15 hour wait (slept night in airport) ensuring seating choice for replacement flight would be good.,airlinetweets/negative
how can a plane that has been sitting in a hanger all day have numerous mechanical problems. Doesn't anyone actually do maintenance,airlinetweets/negative
why do you hate your passengers?,airlinetweets/negative
this airline is a joke my friends been trapped in houston since 7am sat and have no flight in sight #unitedworstever #trappedhouston,airlinetweets/negative
CDG-LAS 42 hours. And my luggage is in SFO. I've been wearing the same clothes for 42 hours. Thank you. #flythefriendlyskies,airlinetweets/negative
How about free wifi when your flights delayed? Only 20 mins allowed!,airlinetweets/negative
I don't know my flight details bc I need to explore some options which I'm unable to do bc the site won't let me.Seems to be ongoing,airlinetweets/negative
UA1565 IAH -&gt; SJO is delayed by like 1.5 hours. Crazy!,airlinetweets/negative
and here i thought American was bad. Horrible Service. Over 2:30 min Late Flight. No excuse!,airlinetweets/negative
was so on point for 5/6 of my flights this past week . . But this last one really sucks shit,airlinetweets/negative
thanks for making everyone wait in the dark for an hour while Newark tries to figure out which gate to go to. #incompetence,airlinetweets/negative
UA1534 has now had 11 different departure times. Wtf. Make up your mind.,airlinetweets/negative
missing a day of vacation to see my husband because of this delay but stuff happens and I get that. Just wish it was handled better,airlinetweets/negative
and pick it up and just bring it on the shuttle. When I went to double check on that they said it was still on the concourse,airlinetweets/negative
Hey so many time changes for UA 1534. We going tonight or what? MIA - EWR,airlinetweets/negative
deceptive marketing practices promised me if i booked flights i would retain my status now they are not granting. Neverflyunited,airlinetweets/negative
might possibly have the worst service on the planet.,airlinetweets/negative
is the worst airlines sitting on the plane at Houston-bush airport now for an hour and a half waiting for Late Flight passengers,airlinetweets/negative
UA647 heading back to gate bc improper load? if ur packing us to the gills should at least take care to load bags. expecting comp...,airlinetweets/negative
I was. But I have given up.,airlinetweets/negative
I need help with a missing bag.,airlinetweets/negative
I understand the intention,airlinetweets/negative
this is it... Last time I fly #UnitedAirlines you screw up every trip now will be stuck in ord and miss work.,airlinetweets/negative
is the airline of the Oscars but doesn't carry ABC on Direct TV?!?! Fail - now I can't watch the Oscars. #united,airlinetweets/negative
always happy to start my life with my new wife with a 5 hr travel delay due to MAINTENECE and it would appear incompetence,airlinetweets/negative
Missed KTM flight due to ur Cancelled Flightlation. Mike supervisor disgusting. Now day Late Flight. No apology or upgrade offer to LHR from ORD???,airlinetweets/negative
: thanks for the miserable trip GNV&lt;&lt;&lt;FSD on 2.19-2.21.,airlinetweets/negative
strikes again! Why board anyone if there's something wrong with the plane? Common sense.,airlinetweets/negative
customer service sucks! They hang up after waiting an hour and talking for 5 minutes.,airlinetweets/negative
i sure will,airlinetweets/negative
is truly the drunk uncle of boarding. Don't believe gate agent that overhead is full; don't reserve aisle http://t.co/cdZhTyd0aK,airlinetweets/negative
I'm on UA1118 and my direct tv isn't working. How do I avoid this in future?,airlinetweets/negative
3 hour 45 min delay so far..... Would love to round to 4 hours to just go to bed!,airlinetweets/negative
your seats are god awful.,airlinetweets/negative
Why did you load us in this flying sardine can if you knew the pilots were 2 hours Late Flight?? #incompetent beyond belief,airlinetweets/negative
please tell CLT flight 4232 needs a gate. Waiting now for 15 mins.,airlinetweets/negative
Why do I have to give up my leg room so these 4 people (not in my row) can fill the bin? Pls start charging. http://t.co/2nY5TuXFqf,airlinetweets/negative
your delay is due to your own making. We have now been back to the gate multiple times. Maybe take accountability,airlinetweets/negative
yes. Bags came 1 hr after I arrived at baggage claim. Awful experience on the ground at BHM,airlinetweets/negative
lol too little too Late Flight,airlinetweets/negative
we still need help. Hung up on twice. Customer service rep said there is no way to help between the gate rep and phone rep.,airlinetweets/negative
so glad I've been waiting for 1 hour and 15 minutes and Ive been transferred 3 times without resolving anything. Worst service ever.,airlinetweets/negative
Instead of sending inaccurate emails about delay every 5 min,airlinetweets/negative
,airlinetweets/negative
I'm really glad I just waited on the phone for over an hour to be sent to a voicemail. Your customer service sucks. Nothing has been,airlinetweets/negative
resolved and im sick and tired of waiting on you. I want my refund and I'd like to speak to someone about it.,airlinetweets/negative
You load our plane at ORD knowing pilots are 2 hrs Late Flight,airlinetweets/negative
I didn't have time to take my wet clothes/suit back to the airport and wasn't going to pay for another cab to do so.,airlinetweets/negative
,airlinetweets/negative
on #UA3785 tonight and told delayed due to Late Flight crew. No idea where crew coming from,airlinetweets/negative
sitting on UAL 683 - a comedy of errors. UAL is incompetent,airlinetweets/negative
Well I can tell you that your customer service at RDU airport is horrific but is exception at O'Hare in Chicago.,airlinetweets/negative
why is it that Sundays when my husband travels to Chicago he's stuck at Tarmac &amp; misses connecting flight always,airlinetweets/negative
is so cheap they couldn't afford to run the AC on #UA1510. They took pressure cooker to a new level. #Cheap #WorstAirline,airlinetweets/negative
not sure why the people in row 7 that paid for a premium seat can't use their overhead space... http://t.co/i9s86KiHge,airlinetweets/negative
,airlinetweets/negative
I understand the intent was not to inconvenience,airlinetweets/negative
Why was flight 1180 EWR to MCO Cancelled Flightled for tomorrow and what do I do to rebook. Asking for a relative.,airlinetweets/negative
can we get an explanation on why UA978 from São Paulo to Houston has been delayed? Now we're hearing from crew about Cancelled Flightlations.,airlinetweets/negative
wanted to point out that not one United crew has been sympathetic. Questions unanswered. MileagePlus is starting to look like a joke,airlinetweets/negative
landed in den on time stuck waiting for gate for 30 min. Maybe an update would be a good idea capt?,airlinetweets/negative
I sent a message. It's very irresponsible that my suitcase cannot be found. This is truly worst service ever... #fedup #disastrous,airlinetweets/negative
except all of that delayed the flight anyway.,airlinetweets/negative
what about the poor customer service at checkin at Kansas KCI?!? That's it???,airlinetweets/negative
"""""delayed due to customer service"""" Huh? http://t.co/XlTV5z6sT1",airlinetweets/negative
we've been waiting 45 min for a gate at SFO... Yet so many of them are free. Your excellence in operational efficiency is showing,airlinetweets/negative
You're trying to solve problem of your own making. Charging for checked luggage forces checking at gate. Brilliant.,airlinetweets/negative
many people on Ua6318 are going to miss connections due to long wait time in SFO tarmac. Seriously u can't find an empty gate?,airlinetweets/negative
Flight 2 is 2:30 hrs delayed so far b/c of Late Flight crew. Now we are literally waiting while they have dinner acc. to honest gate agent.,airlinetweets/negative
#1758 now going in 40 min waiting for other plane to vacate gate. #findanothergate,airlinetweets/negative
You suck. Flight delayed equipment probs again. Miss connection by 2 minutes and you won't let us on even though it's at the gate.,airlinetweets/negative
time to give up my 1K status and switch to - you are so terrible I can't even describe.,airlinetweets/negative
Made to the gate at 8:23 and they wouldn't let us on. http://t.co/xAToxBnsFa,airlinetweets/negative
WHERE IS MY FUCKING BAG?!?! Where the fuck is my fucking bag??? TELL ME NOW OR GIVE ME A NUMBER TO CALL A HUMAN. SAN68059M,airlinetweets/negative
i did but i got nothing from it. Just dissapointment =(,airlinetweets/negative
I did. It took about an hour and a half though,airlinetweets/negative
airlines: you kidding? Bagage lost this morning from ny to Washington and still no trace? #badservice,airlinetweets/negative
Why is my time less important to you? #StrandUsInDenver #HourAndTenMinuteDelay #FlightFail,airlinetweets/negative
Otis in the baggage claim by Bay #8. not at all happy but not nearly as pissed.,airlinetweets/negative
that's not good enough for all of us affected by the awful organization and timing and have now been set back,airlinetweets/negative
Thanks for the vague canned response that doesn't address the issue!,airlinetweets/negative
-rebooked to OMA - 180 miles from my destination. Spotty customer service. I get staff stressors but come on,airlinetweets/negative
really needs to get its act together. Really disappointed in our change of flight,airlinetweets/negative
its funny how none of ur tweets back are helpful what I want is to read 'ya we'll change that so our customers get better service,airlinetweets/negative
but again UNITED DOESNT GIVE 2 SHITS ABOUT THEIR CUSTOMERS,airlinetweets/negative
the delay is due to customer service for 20 people? What about the DIS-SERVICE you provided for 100+? #FlightFail #Hour20Delay,airlinetweets/negative
if you don't like delayed bags,airlinetweets/negative
you really screwed up dealing mechanical failure from Maui to San Francisco. Poor communication bad help in getting connections,airlinetweets/negative
here we go again. 2 of 3 segments SFO--New York RT were delayed OVER 2 hrs each! Why do you suck so BAD!?!Maybe another line of bus?,airlinetweets/negative
there is a disconnect between your PR group and the actual business strategy and employee attitude on the ground. #liars #united,airlinetweets/negative
- Going on 3 days (tomorrow) and I still haven't received my bag from my flight to Toronto. Would love to see some seriousness here.,airlinetweets/negative
your worker told us not to call because we'd be talking to someone in Thailand...,airlinetweets/negative
"I tried the online tracking and they said something like """"attempting to locate luggage",airlinetweets/negative
currently crying... I wanted to ski tomorrow but prolly not. Just a boy tryna fulfill his dreams,airlinetweets/negative
yea they been booked on 10 next avalible flights since sat 7am. And when time comes no plane 2nd day of work missed #hotelliving,airlinetweets/negative
,airlinetweets/negative
compensate us for new clothes bet you won't,airlinetweets/negative
yes I did. Terrible service from your courrier,airlinetweets/negative
bull crap. I spent $600 on a recent trip. That's not small change. I got 10,airlinetweets/negative
customers aren't dumb. These revenue based programs will hurt everyone. Not gonna save money like you think,airlinetweets/negative
worst flights I've ever had. ground crew ignored our plane,airlinetweets/negative
either your staff or whoever you contract with at PVD is failing you big time tonight...,airlinetweets/negative
UA1731 - Denver to Austin... Still on the ground...,airlinetweets/negative
A very disappointing experience - plane mech. delay and next one didn't wait. No sincere apology,airlinetweets/negative
Flight 472 from ORD couldn't let me know about this? Found out via app minutes before landing. Awful flight. http://t.co/DQJl8vZ2h2,airlinetweets/negative
yes I have and I was calling in regards to speaking to someone about it even further,airlinetweets/negative
tried to book a flight IAH-MNL departing 3/31/15 returning 4/17/15 you are advertising 9 flights for $1051 that can't be book!,airlinetweets/negative
you advertise the flight and its still on you website and still can't be book. spent over 2 hours with united support,airlinetweets/negative
"clicked """"upgrade now"""" and it didn't upgrade. What gives? http://t.co/N7oSjz8a59",airlinetweets/negative
and was told that its been the case for weeks but is still not resolved.,airlinetweets/negative
it will be on a different airline.,airlinetweets/negative
love how you don't give a shit about people who tried to be loyal,airlinetweets/negative
was forced to book a flight on a different date than originally planned for a higher price $1130 felt like a bait and switch tactic,airlinetweets/negative
customer service is the WORST. hanging up on customers intentionally after one hour on hold.,airlinetweets/negative
is it even legal for you guys to advertise flights that you cant honor??,airlinetweets/negative
typical caned response from UA,airlinetweets/negative
Apart from being on hold for over 2 hours and having talked to 5 people and the problem still not resolved!,airlinetweets/negative
does asap mean two hours worth of delay and a return to the terminal to count the luggage a third time? #gottogetbetter,airlinetweets/negative
you are trying to charge me 150 bucks because you lowered your award tickets and I want to get my hard earn points back,airlinetweets/negative
will lose my bag but won't give me free pretzels #frauds,airlinetweets/negative
was a sponsor of the oscars? No wonder it was a half hour delayed. #Oscars,airlinetweets/negative
You are a F&amp;$KING joke. Your customer service is woeful. If your staff tell a passenger that they will do something do it!,airlinetweets/negative
bags left behind because plane overweight,airlinetweets/negative
I'm desperately trying to understand how my girlfriend is being treated with this Cancelled Flightled/delayed flight. #unacceptable #ORD,airlinetweets/negative
even after running to gate from your connecting flight,airlinetweets/negative
I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,airlinetweets/negative
I just checked my united app and the most valuable use of this app has been removed. I can no longer see the status of my equipment?,airlinetweets/negative
maybemange the airline alittlebetter. Arrived at LAX and no GATE! #howisthatpossible always the same thing w/u,airlinetweets/negative
big surprise #nogate waiting for our plane. Same fucken issues everything I fly you. #fail #worstairlineever,airlinetweets/negative
24 hrs since flight landed and ZERO info on my missing bag? rough ETA would be hugely helpful + restore some confidence,airlinetweets/negative
Over the last week,airlinetweets/negative
And now the flight Flight Booking Problems site is totally down. Folks,airlinetweets/negative
Ph the pat answers are BS. After I was denied boarding it sat at the gate until 9:05! Your employees totally suck.,airlinetweets/negative
On top of that I paid for 1st class and my wife got stuck in coach.,airlinetweets/negative
It's the horrible attitude from staff after,airlinetweets/negative
"If you consider 50 mins for bags @ 10:00pm on a Sunday night """"as fast as they can",airlinetweets/negative
This is the 2nd time I was rebooked (w/delays),airlinetweets/negative
I am a loyal Premier Platinum member,airlinetweets/negative
Actually,airlinetweets/negative
what the hell? Flight 746. Delayed since 3 pm,airlinetweets/negative
checked me in through security under the wrong name and given the wrong boarding pass. #AirlineSecurity,airlinetweets/negative
after 2 days - 1 flight Cancelled Flightled,airlinetweets/negative
your ground crew was inept and left a truck sitting on the Tarmac. Didn't have a gate agent once we got a gate.,airlinetweets/negative
also didn't ice the frozen metal walkway. Wasted 40 minutes because no one knew how to do simple jobs.,airlinetweets/negative
SF crew lack a lot of customer service,airlinetweets/negative
that's why I blame your company. Because it had every opportunity to do a job and managed to fail each time for just lazy reasons,airlinetweets/negative
One of your workers refused to give me her name as a reference for my notes. Her tone &amp; language was very unprofessional.,airlinetweets/negative
Is flight 746 going to sit on the tarmac FOREVER?????????,airlinetweets/negative
I am very glad I took care of own rescheduling now that UA 1580 from OGG was Cancelled Flightled. http://t.co/H3k3oWOhD1,airlinetweets/negative
40 minutes on tarmac now. That's after 9 hour delay.,airlinetweets/negative
doesn't help the 100 or more passengers that just arrived an hour Late Flight.,airlinetweets/negative
after a Cancelled Flighted flight,airlinetweets/negative
so you jacked out my cousins trip to Portland and then Cancelled Flightled her return trip?! No more United,airlinetweets/negative
"Missed UA1568 connection due 2 mechanical failure UA1543 (""""uplink prob""""). I will lose ~$400 in clients Mon. How can you compensate?",airlinetweets/negative
appreciate it,airlinetweets/negative
you have now lost my bag. Never ever flying United again #joke,airlinetweets/negative
BUT just re-booked to BOS; UGGH!! now 3 hour bus to WMASS home. Could have flown to BDL &amp; back to DC in same time. #unitedairlines,airlinetweets/negative
aaaand 7 hours Late Flightr won't be catching a flight til 6AM...stuck in at airport in a snowstorm with no hotel-how's that for patience?,airlinetweets/negative
Now about two dozen back in line to see a single CSR for reFlight Booking Problems final leg. (Kiosks on fritz.),airlinetweets/negative
Coach interior on UA 992 looked like it was salvaged from the 80s. Tiny unusable video,airlinetweets/negative
I attempted to book a ticket 3 times and kept getting a 'error' message. I hope you didn't still charge me.,airlinetweets/negative
I'm glad you didn't mean to,airlinetweets/negative
you are terrible.,airlinetweets/negative
it's 430am and wife still doesn't have her luggage which was promised by 8pm and said to be on its way File number: DCA48810M #Fail,airlinetweets/negative
please stop spending mktg $ on branding ads. Use savings to improve #cxp. 1hr wait for luggage due to short staff is unacceptable,airlinetweets/negative
First complaint filed on Feb 11th,airlinetweets/negative
really 1st flt frm IAD 2 IAH is - Late Flight &amp; -going via Nashville? #inconvenience. Downgraded but not on ticket,airlinetweets/negative
this is the second time my flights been Cancelled Flightled... Like really?,airlinetweets/negative
I would encourage you to re-interview the sole flight attendant on UAL 6166 from BUF to ORD. Blatantly not stable. Uncomfortable.,airlinetweets/negative
Maybe be hiring your own ground staff at LAX when multiple gate agents tell you your baggage is loaded you expect it to be. HOPELESS,airlinetweets/negative
flight landed 13 hours ago,airlinetweets/negative
changed my last name for my MileagePlus acct on the site in an hour. had me on hold for 20mins,airlinetweets/negative
Cancelled Flightled a flight cause the crew needed sleep.But it's totally okay to wake me up at 3am just to let me know it's Cancelled Flightled,airlinetweets/negative
"- 75% of a plane's passengers boarding in your """"Premier"""" groups might be an indication of a broken process.",airlinetweets/negative
an over booked flight to start with and a red eye from lax to bos with no reclining seat.... #lastflightwithyouever,airlinetweets/negative
very poor customer service. I WILL think again befor Flight Booking Problems another United flight.,airlinetweets/negative
"why do I check in online if I still have to wait in line for an hour to """"check in"""" at counter? #fuckinlame",airlinetweets/negative
just sent you a message on Facebook,airlinetweets/negative
I have sent a message with a bag tag. Have you looked?,airlinetweets/negative
Stopped flying 1 yr ago bc of aggressive policy on carryon listening to pssngrs forced to chk,airlinetweets/negative
"I guess you have to """"follow"""" me in order for me to send you a DM.. I tried and it won't send.",airlinetweets/negative
no they did not want to deliver at my house. Had to go to sombrons else house,airlinetweets/negative
Another awful experience and Victoria at the check in desk in STL could not have been more rude and condescending.,airlinetweets/negative
well for a start it would be nice if your ticket was actually in the system when you change a flight,airlinetweets/negative
and after being on hold for an hour the day before to sort it out and being told it's fine it should be fine when you arrive to fly,airlinetweets/negative
three delayed flights and missed connections on first class flights and not get any compensation for losing those seats...,airlinetweets/negative
never ever again will I be Flight Booking Problems a flight with United or any affiliate if there is a chance to get on a United flight,airlinetweets/negative
UA3388 was Cancelled Flightled not delayed. Re-Flight Booking Problems still 90 miles from home. At least acknowledge the Cancelled Flightlation.,airlinetweets/negative
you need to retrain your flight attendants. Saying there is no more room for carry ons when there actually is,airlinetweets/negative
what is going on with United's Mileage Program? You pay $500 for a ticket and get a fraction of that as PQD credit?,airlinetweets/negative
you've been officially displaced by for better flight experience,airlinetweets/negative
I need assistance. Due to your incompetence I need to reschedule a connection. I will NEVER fly again.,airlinetweets/negative
unhappy with your new mileage rules :( - was my main reason to keep flying united. Will have to take my business elsewhere,airlinetweets/negative
"should I be concerned that I am about to fly on a plane that needs to be delayed due to a """"tech stop""""?",airlinetweets/negative
funny I paid to check my bag and now flight 1086 is BEGGING folks to check bags for free 1 hour before flight. #notcool,airlinetweets/negative
"""""Your bag may or may not be at the airport. Unfortunately",airlinetweets/negative
hahahahaha ya tried that already,airlinetweets/negative
hilarious,airlinetweets/negative
Making sure your flights aren't delayed due to poor maintenance would be a start.,airlinetweets/negative
#epicfail on #CX as flight from Frankfurt to San Francisco now going to Chicago as flight crew out of hours due to de-icing delay,airlinetweets/negative
". You may """"dislike delays"""" but I paid you .We had an agreement that I paid you and you got me to my destination at a certain time.",airlinetweets/negative
Cancelled Flightled my direct flight Newark-Brussels last night,airlinetweets/negative
wi-fi on 737-800 (aircraft 3511) didn't work entire ORD-DCA flight this morning,airlinetweets/negative
I'm not sure you can do anything as this has been building up over time! Other than promises from your CEO service has gotten worse!,airlinetweets/negative
they're not,airlinetweets/negative
how is it that I book a flight with a reserved seat and then go to check in and find out I have no seat? WTF.,airlinetweets/negative
WHERE IS MY RECEIPT! I upgraded return leg and 6 months Late Flightr still NO receipt! http://t.co/DAjWzhLVyu,airlinetweets/negative
. Not what's been shared by the pilot with passengers!,airlinetweets/negative
jx4s2t if you can out today would be great it's our honeymoon and this delay you has put a damper on iy,airlinetweets/negative
also forgot add our bag is probably going to just sit in New Jersey because of a missed connection.,airlinetweets/negative
I understand ppl make mistakes but don't code something in a way that we can't get reimbursed when it's YOUR fault. Just blatant LIE,airlinetweets/negative
current hold time AFTER speaking to rep to have tix reissued is 42 mins - why so long &amp; why not make this option available online?,airlinetweets/negative
No,airlinetweets/negative
day 3 of this Saga maybe they'll finally make it home.Intentional or not it not gonna get them back there vacation days #badservice,airlinetweets/negative
as a freq flyer it makes me sad to see cust needing assistance treated so poorly. #ServiceFail,airlinetweets/negative
I'm on hold for the 4th time waiting for you to resolve and issue with a flight for my 6-year-old son. #terribleservice #NoService,airlinetweets/negative
I have been told twice my issue has been resolved and twice it has not been. And when I write an email it bounces?! #worstservice,airlinetweets/negative
yes,airlinetweets/negative
Currently on UA862,airlinetweets/negative
You can't control turbulence,airlinetweets/negative
how about starting without the robotic response?,airlinetweets/negative
We were supposed to board at 605. They just brought the plane from the hanger! WTF did they not know there was a flight?1153 Lax-EWR,airlinetweets/negative
you failed me last week at IAH. Next intl trip on Delta. Small ual flight from lax booked,airlinetweets/negative
you Cancelled Flight my flight. I wait in line to get rebooked,airlinetweets/negative
so is the ^JJ standing for Just Joking? I am not finding the humor.,airlinetweets/negative
flight Cancelled Flightled,airlinetweets/negative
i emailed the customer care via the website form. After a long wait Rachelle resolved my issue. But I'm still irritated w/ united.,airlinetweets/negative
working with Lisa J at ORD. she's working hard for us,airlinetweets/negative
Beyond frustrated Sked change = no seats,airlinetweets/negative
Flight 683 last night was #bad4business. Will be a long time before I recommend United to anyone.,airlinetweets/negative
UA1130 Flight was a nightmare!! From poor customer service,airlinetweets/negative
2nd flight in two weeks that you have lost my bag! Taking my 1K status to #neveragain #WORSTCUSTOMERSERVICE,airlinetweets/negative
. epic fail. . no jetway. been here 15 mins on tarmac!,airlinetweets/negative
's new #flierfriendly is garbage. Just had to cry to get attendant to find a place for my medical supplies with limited overhead,airlinetweets/negative
space. Doctors' notes and everything. And on my first trip they lost my first suitcase. Among other issues- not pleased with #united,airlinetweets/negative
need to work on your #United #flierfriendly program. At the very least,airlinetweets/negative
passengers should have been rerouted to match the intended arrival time (even if you have to incur cost to put us in other airlines),airlinetweets/negative
